athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Santiago Gutierrez,MEX,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3681.9,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeison Rojas,CRC,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3688.3,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Yan Thorley,HKG,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3688.4,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chin Ting Keith Sin,HKG,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3688.8,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galymzhan Balabek,KAZ,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3689.3,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damien Payet,SEY,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3716.4,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junho Sung,KOR,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3737.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santiago Reyes,GUA,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3942.9,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prashans Manjunath Hiremagalur,IND,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3943.7,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikita Kornilov,UZB,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3982.4,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Ponce,GUA,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3983.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Army Pal,IND,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,4122.5,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
