athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Clement Batte,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2749.4,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimitrios Negris,GRE,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2752.9,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athanasios Kynigakis,GRE,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2753.4,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Papp,HUN,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2763.4,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Heron,USA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2764.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dario Verani,ITA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2765.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuval Safra,ISR,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2765.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Gil,POR,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2766.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hugo Saillard,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2766.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brennan Gravley,USA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2784.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
