athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Emma Cocheteux,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3780.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inès Idier,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3781.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marij Van Der Mast,NED,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3840.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serena Stel,NED,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3858.8,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helvina Huet,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3860.5,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maiana Flament,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3956.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabryna Lavoie,CAN,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,4101.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexia Saurel,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,4134.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarah Moreau,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,4141.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nolwenn Nunes,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,4156.1,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Céleste Vereecke,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,4259.4,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucile Mouret,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,4267.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manoella Barbosa,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,4270.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosalie Levesque Pero,CAN,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,4334.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexane Cormier,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,4336.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joanne Pladys,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,4337.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mia Desjarlais,CAN,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,4337.5,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margaux Bouteloup,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,4338.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emma Lebre,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,4338.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marie-Laurence Lortie,CAN,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,4349.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Léa Cepeck,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,4370.4,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marie-Amélie Henriet,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,4412.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chloé Stutel,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,4445.9,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linda Ungerboeck,AUT,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,4459.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anais Jarraud,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,4472.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte Perrin,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,4515.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chloé Lisik,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,4531.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janna De Vries Lize,NED,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,4629.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perrine Courbet,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,4647.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emilie Anne,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,4944.4,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marine Boudes,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,5184.5,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurianne Regi,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,5255.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurelie Holschneider,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,5479.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivia Mascarin,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,5499.6,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audrenn Foiny,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,5582.8,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
