athlete_name,country,status,dob
Dina Levacic,CRO,Active,
Victoria Mori,ARG,Active,
Elena Lionello,ITA,Active,
Catalina Berraud,ARG,Active,
Daphnée Demers,CAN,Active,
Hannah Riordan,CAN,Active,
Sara E Holman,USA,Active,
Gwenaelle Plonquet-Thibault,CAN,Active,
Rosalie Levesque-Pero,CAN,Active,
Mary E Holman,USA,Active,
Dandan Yang,CHN,Active,
Xiaolin Yang,CHN,Active,
Shiyue Cao,CHN,Active,
Honoka Hasegawa,JPN,Active,
Ming Yu Claudia Wong,HKG,Active,
Taylor Pike,USA,Active,
Lee Tiffany Wan Fung,HKG,Active,
Shih-Han Su,TPE,Active,
Fabiana Lamberti,ITA,Active,
Catarina Ganyeuli,BRA,Active,
Lila Langlais,FRA,Active,
Inis Idier,FRA,Active,
Celeste Vereecke,FRA,Active,
Hanna Bakuniak,POL,Active,
Jill Reich,SUI,Active,
Kiah Melverton,AUS,Active,
Martina Rita Caramignoli,ITA,Active,
Chaya Simone Zabludoff,ISR,Active,
Ruthseli Guadalupe Aponte Teran,VEN,Active,
Heba Elkhouly,EGY,Active,
Patricia Guerrero,ECU,Active,
Nina Rakhimova,KAZ,Active,
Raquel Duran,CRC,Active,
Cindy Toscano,GUA,Active,
Doris Beros,CRO,Active,
Sasha-Lee Nordengen-Corris,RSA,Active,
Cathryn Salladin,USA,Active,
Caitlin Nolan,CAN,Active,
Antonija Bulicic,CRO,Active,
Catarina Cucatti Ganzeli,BRA,Active,
Marit Anderson,CAN,Active,
Isabella Rongione,USA,Active,
Maggie Wallace,USA,Active,
Cho Yiu Kwok,HKG,Active,
Maria Romero,ESP,Active,
Alba Romero,ESP,Active,
Agueda Cons,ESP,Active,
Paula Goyanes,ESP,Active,
Judith Navarro Silvestre,ESP,Active,
Franzi Heinrich,GER,Active,
Emma Wael,DEN,Active,
Dora Sztankovics,HUN,Active,
Fanni Kun-Szabo,HUN,Active,
Laura Dressayre,FRA,Active,
Morgane Garcia,FRA,Active,
Ines Idier,FRA,Active,
Charline Mace,FRA,Active,
Rachel Wothrich,SUI,Active,
Omer Shwartz,ISR,Active,
Ofek Adir,ISR,Active,
Bekky Pozdner,ISR,Active,
Eden Goldenberg,ISR,Active,
Alessia Ossoli,ITA,Active,
Clemence Coccordano,FRA,Active,
Emma Micheletti,ITA,Active,
Talya Erdogan,TUR,Active,
Federica Senatore,ITA,Active,
Elena Tortora,ITA,Active,
Renata Vigano,ITA,Active,
Anna Masetti,ITA,Active,
Ines Delacroix,FRA,Active,
Letizia Baldessari,ITA,Active,
Erica Tommassini,ITA,Active,
Ludovica Lugli,ITA,Active,
Candice Foix,FRA,Active,
Giorgia Gosetto,ITA,Active,
Sara Petrolli,ITA,Active,
Apolline Gallant,FRA,Active,
Elena Pavan,ITA,Active,
Marina Triantafyllidi,GRE,Active,
Hazel Bentley,IRL,Active,
Summer Smith,USA,Active,
Kensey Mcmahon,USA,Active,
Cibelle Jungblut,BRA,Active,
Anna Auld,USA,Active,
Moesha Johnson,AUS,Active,
Airi Ebina,JPN,Active,
Finella Gibbs-Beal,AUS,Active,
Emma Finlin,CAN,Active,
Abby Dunford,CAN,Active,
Isabella Babbitt,ECU,Active,
Ruby Heath,NZL,Active,
Citlalli Montserrat Mora Olivares,MEX,Active,
Jinha Kim,KOR,Active,
Leandra Torres,PUR,Active,
Candice Ruo Han Ang,SGP,Active,
Sofia Guevara,ECU,Active,
Alondra Itzel Quiles,PUR,Active,
Maria Porres,GUA,Active,
Maiza Cardozo,URU,Active,
Therese Soukup,SEY,Active,
Candela Giordanino,ARG,Active,
Katrina Bellio,CAN,Active,
Yu-Wen Teng,TPE,Active,
Paulina Alanis Hernandez,MEX,Active,
Hae Rim Lee,KOR,Active,
Jungju Park,KOR,Active,
Jocelyn Bermeo,ECU,Active,
Samantha Yeo,SGP,Active,
Natwara Bavornsukseri,THA,Active,
Hanano Kato,JPN,Active,
Hanyu Cheng,CHN,Active,
Kexin Wang,CHN,Active,
Jacqueline Davison-Mcgovern,AUS,Active,
Ilektra Varvara Lebl,GRE,Active,
Katja Fain,SLO,Active,
Fleur Lewis,CZE,Active,
Kennedy Denby,MKD,Active,
Livia Kingsland,SRB,Active,
Divna Simsic,GRE,Active,
Megan Frost,CAN,Active,
Megan Willar,CAN,Active,
Lara Seifert,GER,Active,
Mariia Horodnia,UKR,Active,
Madison Emment,GBR,Active,
Bettina Fábián,HUN,Active,
Lia Csulak,HUN,Active,
Matea Sumajstorcic,CRO,Active,
Candela Sanchez Lora,ESP,Active,
Emma Fredersdorf,SUI,Active,
Noga Zilberberg,ISR,Active,
Leia Arad,ISR,Active,
Perla Hashma,ISR,Active,
Pilar Maria Hasma,ISR,Active,
Noa Kalish,ISR,Active,
Lily Sagi,ISR,Active,
Eden Hodara,ISR,Active,
Gali Benmoshe,ISR,Active,
Roni Chen Goldenberg,ISR,Active,
Madeline Claire Gough,AUS,Active,
Amber Chloe Keegan,GBR,Active,
Chloe Lavinia Truscott,AUS,Active,
Inass Rachidi,MAR,Active,
Klara Kowalska,POL,Active,
Beatrice Liana,ITA,Active,
Federica Sirchia,ITA,Active,
Ella Carrol,IRL,Active,
Claudia Giralt Pidemont,ESP,Active,
Jazmin Carlin,GBR,Active,
Lamees Elsokkary,EGY,Active,
Nabila Hassan,EGY,Active,
Nadine Karim,EGY,Active,
Sara Moahmed Hassan,EGY,Active,
Celine Rieder,GER,Active,
Claire Weinstein,USA,Active,
Ludovica Terlizzi,ITA,Active,
Eva Lenzi,ITA,Active,
Tayla Martin,AUS,Active,
Leah Degeorge,USA,Active,
Jess Mouatt,AUS,Active,
Viola Giraudo,ITA,Active,
Silvia Marcon,ITA,Active,
Letizia Gioffredi,ITA,Active,
Lilyana Georgieva,BUL,Active,
Shutong Wu,CHN,Active,
Bailey O'Regan,CAN,Active,
Britta Schwengle,ARU,Active,
Anastasiya Zelinskaya,UZB,Active,
Tory Earle,RSA,Active,
Thitirat Charoensup,THA,Active,
Mariela Guadamuro,PUR,Active,
Ashmitha Chandra,IND,Active,
Ichika Kajimoto,JPN,Active,
Miku Kojima,JPN,Active,
Kate Beavon,RSA,Active,
Klara Bosnjak,CRO,Active,
Alejandra Hoyos Horvath,MEX,Active,
Malak Meqdar,MAR,Active,
Rithika Mahesh,IND,Active,
Fabienne Wenske,GER,Active,
Anna Györffy Lili,HUN,Active,
Lara Braun,GER,Active,
Camille Henveaux,BEL,Active,
Georga Gosetto,ITA,Active,
Marie Kopacova,CZE,Active,
Natalia Piekarska,POL,Active,
Lucie Netrefova,CZE,Active,
Leontyna Trnena,CZE,Active,
Reka Varga,SRB,Active,
Jana Kostandinovska,MKD,Active,
Rosana Gosheva,MKD,Active,
Claire Stuhlmacher,USA,Active,
Lauren Milbaum,USA,Active,
Viktoria Freja Sorensen,DEN,Active,
Fanny Gabriela Ccollcca,PER,Active,
Jennifer Michell Ramirez Posada,HON,Active,
Georgia Makri,GRE,Active,
Applejean Virginia Gwinn,TPE,Active,
Lenka Pavlacka,CZE,Active,
Alexandra Mejia Gallego,AND,Active,
Sezen Akanda Boz,TUR,Active,
Karla De La Rosa Mondragon,MEX,Active,
Liberty-Belle Horter,FRA,Active,
Kalliopi Kanogka,GRE,Active,
Eylul Nisa Aycetin,TUR,Active,
Ines Vitrac Garcia,FRA,Active,
Callan Lotter,RSA,Active,
Yihan Mao,CHN,Active,
Kamonchanok Kwanmuang,THA,Active,
Laila Oravsky,CAN,Active,
Isabella Hernadez,DOM,Active,
Ashley Yi Ting Ng,SGP,Active,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
end,,,
