athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,
Daniel Szekelyi,HUN,05/13/2021,European Championships,"Budapest, HUN",10,NW,Neutral,33,6724.70,11,863.20,1343.70,2217.90,2702.60,3563.40,4040.00,4909.70,5387.80,6724.70,,,,,,,,,,,,,,,,,,,,,,
Oliver Klemet,GER,05/13/2021,European Championships,"Budapest, HUN",10,NW,Neutral,33,6725.70,12,857.10,1338.00,2212.30,2699.50,3560.60,4040.00,4920.50,5398.00,6725.70,,,,,,,,,,,,,,,,,,,,,,
Rob Muffels,GER,05/13/2021,European Championships,"Budapest, HUN",10,NW,Neutral,33,6726.30,13,855.40,1333.70,2205.30,2693.70,3554.70,4034.30,4914.40,5390.30,6726.30,,,,,,,,,,,,,,,,,,,,,,
Athanasios Kynigakis,GRE,05/13/2021,European Championships,"Budapest, HUN",10,NW,Neutral,33,6726.80,14,853.20,1334.80,2209.40,2696.90,3552.60,4037.30,4919.70,5393.60,6726.80,,,,,,,,,,,,,,,,,,,,,,
Kirill Abrosimov,RUS,05/13/2021,European Championships,"Budapest, HUN",10,NW,Neutral,33,6727.90,15,854.70,1331.40,2207.00,2696.30,3558.60,4039.10,4918.40,5393.80,6727.90,,,,,,,,,,,,,,,,,,,,,,
Logan Vanhuys,BEL,05/13/2021,European Championships,"Budapest, HUN",10,NW,Neutral,33,6738.40,16,864.40,1341.70,2219.80,2698.60,3558.50,4040.20,4921.00,5392.70,6738.40,,,,,,,,,,,,,,,,,,,,,,
Peter Galicz,HUN,05/13/2021,European Championships,"Budapest, HUN",10,NW,Neutral,33,6743.30,17,858.50,1339.00,2215.00,2701.60,3569.70,4040.10,4921.00,5394.60,6743.30,,,,,,,,,,,,,,,,,,,,,,
Matan Roditi,ISR,05/13/2021,European Championships,"Budapest, HUN",10,NW,Neutral,33,6754.40,18,857.10,1337.80,2212.80,2699.20,3562.10,4040.60,4922.80,5397.90,6754.40,,,,,,,,,,,,,,,,,,,,,,
Tobias Patrick Robinson,GBR,05/13/2021,European Championships,"Budapest, HUN",10,NW,Neutral,33,6766.60,19,851.10,1329.70,2204.60,2684.80,3551.70,4035.40,4915.30,5392.00,6766.60,,,,,,,,,,,,,,,,,,,,,,
Evgenii Drattcev,RUS,05/13/2021,European Championships,"Budapest, HUN",10,NW,Neutral,33,6785.30,20,858.70,1338.10,2213.30,2697.00,3561.60,4037.80,4918.00,5394.30,6785.30,,,,,,,,,,,,,,,,,,,,,,
Ruslan Sadykov,RUS,05/13/2021,European Championships,"Budapest, HUN",10,NW,Neutral,33,6785.50,21,853.10,1337.10,2206.60,2693.50,3557.50,4039.20,4924.40,5396.50,6785.50,,,,,,,,,,,,,,,,,,,,,,
Lars Bottelier,NED,05/13/2021,European Championships,"Budapest, HUN",10,NW,Neutral,33,6785.70,22,853.90,1333.90,2210.70,2695.60,3563.40,4040.20,4924.90,5396.00,6785.70,,,,,,,,,,,,,,,,,,,,,,
Matej Kozubek,CZE,05/13/2021,European Championships,"Budapest, HUN",10,NW,Neutral,33,6817.90,23,856.40,1336.50,2212.60,2699.00,3561.60,4040.60,4920.80,5395.70,6817.90,,,,,,,,,,,,,,,,,,,,,,
Ido Gal,ISR,05/13/2021,European Championships,"Budapest, HUN",10,NW,Neutral,33,6842.80,24,860.60,1340.60,2218.40,2701.40,3563.70,4041.60,4923.90,5402.30,6842.80,,,,,,,,,,,,,,,,,,,,,,
Jan Hercog,AUT,05/13/2021,European Championships,"Budapest, HUN",10,NW,Neutral,33,6843.20,25,863.70,1340.80,2215.70,2701.40,3573.30,4043.00,4926.20,5400.00,6843.20,,,,,,,,,,,,,,,,,,,,,,
Martin Straka,CZE,05/13/2021,European Championships,"Budapest, HUN",10,NW,Neutral,33,6847.10,26,856.10,1339.40,2209.50,2697.80,3559.50,4039.40,4927.90,5404.40,6847.10,,,,,,,,,,,,,,,,,,,,,,
Evgenij Pop Acev,MKD,05/13/2021,European Championships,"Budapest, HUN",10,NW,Neutral,33,6848.90,27,866.20,1346.30,2220.00,2703.60,3567.30,4045.20,4927.00,5412.40,6848.90,,,,,,,,,,,,,,,,,,,,,,
Igor Chervynskiy,UKR,05/13/2021,European Championships,"Budapest, HUN",10,NW,Neutral,33,6850.20,28,860.00,1339.60,2215.40,2700.00,3564.80,4040.90,4927.60,5409.00,6850.20,,,,,,,,,,,,,,,,,,,,,,
Vit Ingeduld,CZE,05/13/2021,European Championships,"Budapest, HUN",10,NW,Neutral,33,6947.20,29,862.10,1342.60,2216.10,2700.80,3564.60,4043.40,4930.10,5422.20,6947.20,,,,,,,,,,,,,,,,,,,,,,
Arti Krasniqi,KOS,05/13/2021,European Championships,"Budapest, HUN",10,NW,Neutral,33,6952.40,30,855.80,1333.80,2214.90,2699.40,3565.00,4047.30,4939.60,5462.10,6952.40,,,,,,,,,,,,,,,,,,,,,,
Yonatan Ahdut,ISR,05/13/2021,European Championships,"Budapest, HUN",10,NW,Neutral,33,6990.40,31,863.30,1338.50,2220.30,2703.40,3571.70,4048.60,4932.60,5428.40,6990.40,,,,,,,,,,,,,,,,,,,,,,
Tamas Farkas,SRB,05/13/2021,European Championships,"Budapest, HUN",10,NW,Neutral,33,7200.20,32,864.20,1345.00,2219.60,2703.40,3595.30,4108.30,5107.10,5649.40,7200.20,,,,,,,,,,,,,,,,,,,,,,
end,,,2021_05_13_Budapest_10km_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Reymond,FRA,05/16/2021,European Championships,"Budapest, HUN",25,NW,Neutral,15,16559.80,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Furlan,ITA,05/16/2021,European Championships,"Budapest, HUN",25,NW,Neutral,15,16565.10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirill Abrosimov,RUS,05/16/2021,European Championships,"Budapest, HUN",25,NW,Neutral,15,16566.20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessio Occhipinti,ITA,05/16/2021,European Championships,"Budapest, HUN",25,NW,Neutral,15,16572.00,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lars Bottelier,NED,05/16/2021,European Championships,"Budapest, HUN",25,NW,Neutral,15,16577.90,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simone Ruffini,ITA,05/16/2021,European Championships,"Budapest, HUN",25,NW,Neutral,15,16578.10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruslan Sadykov,RUS,05/16/2021,European Championships,"Budapest, HUN",25,NW,Neutral,15,16633.40,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Galicz,HUN,05/16/2021,European Championships,"Budapest, HUN",25,NW,Neutral,15,16652.70,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenij Pop Acev,MKD,05/16/2021,European Championships,"Budapest, HUN",25,NW,Neutral,15,16654.00,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Huszti,HUN,05/16/2021,European Championships,"Budapest, HUN",25,NW,Neutral,15,16717.00,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Straka,CZE,05/16/2021,European Championships,"Budapest, HUN",25,NW,Neutral,15,16796.00,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matej Kozubek,CZE,05/16/2021,European Championships,"Budapest, HUN",25,NW,Neutral,15,16844.90,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niklas Frach,GER,05/16/2021,European Championships,"Budapest, HUN",25,NW,Neutral,15,17203.60,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
end,,,2021_05_16_Budapest_25km_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristof Rasovszky,HUN,08/03/2019,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,18,7606.30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dario Verani,ITA,08/03/2019,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,18,7608.10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hau-Li Fan,CAN,08/03/2019,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,18,7612.70,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Furlan,ITA,08/03/2019,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,18,7612.80,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guillem Pujol,ESP,08/03/2019,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,18,7613.00,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lars Bottelier,NED,08/03/2019,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,18,7615.30,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Schouten,NED,08/03/2019,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,18,7615.30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Waschburger,GER,08/03/2019,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,18,7617.50,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Ponte,BRA,08/03/2019,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,18,7617.80,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenij Pop Acev,MKD,08/03/2019,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,18,7618.50,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Delgadillo,MEX,08/03/2019,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,18,7621.70,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Masse-Savard,CAN,08/03/2019,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,18,7621.90,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandre Finco,BRA,08/03/2019,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,18,7669.00,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Pouliot,CAN,08/03/2019,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,18,7826.60,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Wright,NZL,08/03/2019,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,18,7884.90,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Deegan,AUS,08/03/2019,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,18,8333.10,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edouard Belanger,CAN,08/03/2019,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,18,8475.00,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maxime Gagnon,CAN,08/03/2019,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,18,8607.20,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
end,,,2019_08_03_LacMegantic_10km_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Reymond,FRA,08/24/2019,FINA Grand Prix,"Ohrid Lake, MKD",25,NW,Neutral,14,19255.30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenij Pop Acev,MKD,08/24/2019,FINA Grand Prix,"Ohrid Lake, MKD",25,NW,Neutral,14,19263.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francesco Ghettini,ITA,08/24/2019,FINA Grand Prix,"Ohrid Lake, MKD",25,NW,Neutral,14,19269.30,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Schouten,NED,08/24/2019,FINA Grand Prix,"Ohrid Lake, MKD",25,NW,Neutral,14,19280.40,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edoardo Stochino,ITA,08/24/2019,FINA Grand Prix,"Ohrid Lake, MKD",25,NW,Neutral,14,19280.40,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Bianchi,ITA,08/24/2019,FINA Grand Prix,"Ohrid Lake, MKD",25,NW,Neutral,14,19377.20,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matheus Emerim Evangelista,BRA,08/24/2019,FINA Grand Prix,"Ohrid Lake, MKD",25,NW,Neutral,14,19689.40,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Carrizo Yunges,ARG,08/24/2019,FINA Grand Prix,"Ohrid Lake, MKD",25,NW,Neutral,14,20003.70,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Blaum,ARG,08/24/2019,FINA Grand Prix,"Ohrid Lake, MKD",25,NW,Neutral,14,20108.10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matias Diaz Hernandez,ARG,08/24/2019,FINA Grand Prix,"Ohrid Lake, MKD",25,NW,Neutral,14,20761.60,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquiles Balaudo,ARG,08/24/2019,FINA Grand Prix,"Ohrid Lake, MKD",25,NW,Neutral,14,21058.70,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksandar Ilievski,MKD,08/24/2019,FINA Grand Prix,"Ohrid Lake, MKD",25,NW,Neutral,14,21123.80,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
end,,,2019_08_24_OhridLake_25km_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirill Abrosimov,RUS,08/28/2019,FINA World Cup,"Ohrid Lake, MKD",10,NW,Neutral,10,7221.80,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Reymond,FRA,08/28/2019,FINA World Cup,"Ohrid Lake, MKD",10,NW,Neutral,10,7221.90,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Furlan,ITA,08/28/2019,FINA World Cup,"Ohrid Lake, MKD",10,NW,Neutral,10,7223.30,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristof Rasovszky,HUN,08/28/2019,FINA World Cup,"Ohrid Lake, MKD",10,NW,Neutral,10,7224.60,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Bianchi,ITA,08/28/2019,FINA World Cup,"Ohrid Lake, MKD",10,NW,Neutral,10,7229.30,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Waschburger,GER,08/28/2019,FINA World Cup,"Ohrid Lake, MKD",10,NW,Neutral,10,7229.50,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dario Verani,ITA,08/28/2019,FINA World Cup,"Ohrid Lake, MKD",10,NW,Neutral,10,7241.90,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Schouten,NED,08/28/2019,FINA World Cup,"Ohrid Lake, MKD",10,NW,Neutral,10,7241.90,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenij Pop Acev,MKD,08/28/2019,FINA World Cup,"Ohrid Lake, MKD",10,NW,Neutral,10,7853.50,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola Savatinov,BUL,08/28/2019,FINA World Cup,"Ohrid Lake, MKD",10,NW,Neutral,10,7936.90,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
end,,,2019_08_28_OhridLake_10km_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edoardo Stochino,ITA,08/31/2019,FINA Grand Prix,"Novi, CRO",20,NW,Neutral,11,15483.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenij Pop Acev,MKD,08/31/2019,FINA Grand Prix,"Novi, CRO",20,NW,Neutral,11,15486.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francesco Ghettini,ITA,08/31/2019,FINA Grand Prix,"Novi, CRO",20,NW,Neutral,11,15489.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matias Diaz Hernandez,ARG,08/31/2019,FINA Grand Prix,"Novi, CRO",20,NW,Neutral,11,15528.00,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matheus Emerim Evangelista,BRA,08/31/2019,FINA Grand Prix,"Novi, CRO",20,NW,Neutral,11,15552.00,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Blaum,ARG,08/31/2019,FINA Grand Prix,"Novi, CRO",20,NW,Neutral,11,15593.00,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquiles Balaudo,ARG,08/31/2019,FINA Grand Prix,"Novi, CRO",20,NW,Neutral,11,15650.00,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicola Tempesta,ITA,08/31/2019,FINA Grand Prix,"Novi, CRO",20,NW,Neutral,11,15698.00,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Carrizo Yunges,ARG,08/31/2019,FINA Grand Prix,"Novi, CRO",20,NW,Neutral,11,15992.00,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksandar Ilievski,MKD,08/31/2019,FINA Grand Prix,"Novi, CRO",20,NW,Neutral,11,16113.00,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Crevatin,ITA,08/31/2019,FINA Grand Prix,"Novi, CRO",20,NW,Neutral,11,16246.00,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
end,,,2019_08_31_Novi_20km_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas Sloman,AUS,09/07/2019,FINA World Cup,"Nantou, TPE",10,NW,Neutral,21,6991.20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayden Paul Cotter,AUS,09/07/2019,FINA World Cup,"Nantou, TPE",10,NW,Neutral,21,6996.80,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Furlan,ITA,09/07/2019,FINA World Cup,"Nantou, TPE",10,NW,Neutral,21,6998.40,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soeren Meissner,GER,09/07/2019,FINA World Cup,"Nantou, TPE",10,NW,Neutral,21,6999.20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dario Verani,ITA,09/07/2019,FINA World Cup,"Nantou, TPE",10,NW,Neutral,21,7000.90,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Waschburger,GER,09/07/2019,FINA World Cup,"Nantou, TPE",10,NW,Neutral,21,7001.00,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Schouten,NED,09/07/2019,FINA World Cup,"Nantou, TPE",10,NW,Neutral,21,7001.20,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheng-Chi Cho,TPE,09/07/2019,FINA World Cup,"Nantou, TPE",10,NW,Neutral,21,7002.60,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matej Kozubek,CZE,09/07/2019,FINA World Cup,"Nantou, TPE",10,NW,Neutral,21,7046.00,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan Do Carmo,BRA,09/07/2019,FINA World Cup,"Nantou, TPE",10,NW,Neutral,21,7054.60,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Yan Thorley,HKG,09/07/2019,FINA World Cup,"Nantou, TPE",10,NW,Neutral,21,7123.00,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitaliy Khudyakov,KAZ,09/07/2019,FINA World Cup,"Nantou, TPE",10,NW,Neutral,21,7127.30,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tzu-Cheng Liao,TPE,09/07/2019,FINA World Cup,"Nantou, TPE",10,NW,Neutral,21,7194.90,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chin Ting Keith Sin,HKG,09/07/2019,FINA World Cup,"Nantou, TPE",10,NW,Neutral,21,7441.70,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kai-Wen Tseng,TPE,09/07/2019,FINA World Cup,"Nantou, TPE",10,NW,Neutral,21,7581.50,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tien-En Yang,TPE,09/07/2019,FINA World Cup,"Nantou, TPE",10,NW,Neutral,21,7584.50,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritchie Oh,SGP,09/07/2019,FINA World Cup,"Nantou, TPE",10,NW,Neutral,21,7584.80,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yu Sung Chen,TPE,09/07/2019,FINA World Cup,"Nantou, TPE",10,NW,Neutral,21,7588.40,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chia En Hsu,TPE,09/07/2019,FINA World Cup,"Nantou, TPE",10,NW,Neutral,21,7588.60,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Yu Yang Tan,SGP,09/07/2019,FINA World Cup,"Nantou, TPE",10,NW,Neutral,21,7593.30,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsung Bao Lin,TPE,09/07/2019,FINA World Cup,"Nantou, TPE",10,NW,Neutral,21,7606.70,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
end,,,2019_09_07_Nantou_10km_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Bianchi,ITA,09/07/2019,FINA Grand Prix,"Capri-Napoli, ITA",36,NW,Neutral,15,24512.11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francesco Ghettini,ITA,09/07/2019,FINA Grand Prix,"Capri-Napoli, ITA",36,NW,Neutral,15,24512.22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenij Pop Acev,MKD,09/07/2019,FINA Grand Prix,"Capri-Napoli, ITA",36,NW,Neutral,15,24829.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Blaum,ARG,09/07/2019,FINA Grand Prix,"Capri-Napoli, ITA",36,NW,Neutral,15,25144.00,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edoardo Stochino,ITA,09/07/2019,FINA Grand Prix,"Capri-Napoli, ITA",36,NW,Neutral,15,25151.00,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Magliocca,ITA,09/07/2019,FINA Grand Prix,"Capri-Napoli, ITA",36,NW,Neutral,15,25787.00,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matheus Emerim Evangelista,BRA,09/07/2019,FINA Grand Prix,"Capri-Napoli, ITA",36,NW,Neutral,15,26329.00,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matias Diaz Hernandez,ARG,09/07/2019,FINA Grand Prix,"Capri-Napoli, ITA",36,NW,Neutral,15,26500.00,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksandar Ilievski,MKD,09/07/2019,FINA Grand Prix,"Capri-Napoli, ITA",36,NW,Neutral,15,27369.00,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquiles Balaudo,ARG,09/07/2019,FINA Grand Prix,"Capri-Napoli, ITA",36,NW,Neutral,15,27518.00,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stefano Parta,ITA,09/07/2019,FINA Grand Prix,"Capri-Napoli, ITA",36,NW,Neutral,15,29183.00,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
end,,,2019_09_07_Capri-Napoli_36km_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferry Weertman,NED,09/29/2019,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,27,6960.13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Furlan,ITA,09/29/2019,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,27,6965.30,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirill Abrosimov,RUS,09/29/2019,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,27,6972.24,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Schouten,NED,09/29/2019,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,27,6972.84,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristof Rasovszky,HUN,09/29/2019,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,27,6972.91,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan Do Carmo,BRA,09/29/2019,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,27,6973.20,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepijn Smits,NED,09/29/2019,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,27,6987.20,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ziyang Zhang,CHN,09/29/2019,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,27,6987.70,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hao Han Wang,CHN,09/29/2019,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,27,6989.06,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Waschburger,GER,09/29/2019,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,27,6990.54,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dario Verani,ITA,09/29/2019,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,27,6991.20,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junbohang Zhao,CHN,09/29/2019,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,27,7027.75,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupeng Liu,CHN,09/29/2019,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,27,7040.47,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elliot Sodemann,SWE,09/29/2019,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,27,7042.56,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mingyu Lu,CHN,09/29/2019,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,27,7045.53,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bozhao Zhang,CHN,09/29/2019,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,27,7076.28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruoyu Wang,CHN,09/29/2019,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,27,7080.78,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shuyi Liu,CHN,09/29/2019,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,27,7081.09,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiabao An,CHN,09/29/2019,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,27,7084.84,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunnan Wang,CHN,09/29/2019,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,27,7087.65,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenij Pop Acev,MKD,09/29/2019,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,27,7089.48,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
