athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,
Damian Blaum,ARG,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6833.10,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arturo Perez Vertti Ferrer,MEX,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6851.10,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo Gutierrez,PER,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6852.60,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Gil,POR,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6853.40,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mateusz Sawrymowicz,POL,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6853.40,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenij Pop Acev,MKD,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6855.30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marwan Elamrawy,EGY,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6856.00,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Delgadillo,MEX,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6858.80,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davy Billiau,BEL,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6859.20,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phillip Ryan,NZL,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6867.20,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krzysztof Pielowski,POL,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6869.00,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vasco Gaspar,POR,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6870.50,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igor Snitko,UKR,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6871.40,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthias Schweinzer,AUT,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6881.50,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troyden Prinsloo,RSA,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6882.90,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuval Safra,ISR,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6923.50,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher Bryan,IRL,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6927.70,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haythem Abdelkhalek,TUN,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,7012.50,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pol Gil,ESP,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,7013.50,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan Kutnik,CZE,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,7104.70,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamas Farkas,SRB,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,7119.20,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Lowe,BAH,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,7315.40,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oskar Nordstrand,SWE,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,7315.40,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soon Choy Kevin Yeap,MAS,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,7329.10,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youssef Hossameldeen Khalil Hossameldeen,EGY,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,7350.00,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenessary Kenenbayev,KAZ,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,7540.70,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singha Chau,HKG,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,7811.20,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chin Ting Keith Sin,HKG,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,7844.40,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
