athlete_name,country,status,dob
Mohamed Moselhy,EGY,Active,
Naim Mokhfi,FRA,Active,
Nattapon Intaratchaikij,THA,Active,
Nicholas Rollo,AUS,Active,
Nicholas Sloman,AUS,Active,
Nicolas Masse-Savard,CAN,Active,
Nicolas Provenzano,ARG,Active,
Niklas Frach,GER,Active,
Noel Novoszath,HUN,Active,
Oliver Signorini,AUS,Active,
Pablo Le Corre,FRA,Active,
Pepijn Smits,NED,Retired,
Peter Galicz,HUN,Active,
Philippe Guertin,CAN,Active,
Pol Gil,ESP,Active,
Raben Severin Dommann,CAN,Active,
Rafael Gil,POR,Retired,
Raul Santiago Betancor,ESP,Active,
Reilly Kennedy,AUS,Active,
Richard Weinberger,CAN,Active,
Riku Kuwazoe,JPN,Active,
Rinel Pius,EST,Active,
Rob Muffels,GER,Active,
Romain Beraud,FRA,Active,
Rui Meng,CHN,Active,
Ruoyu Wang,CHN,Active,
Ruwen Straub,GER,Active,
Ryley Mcrae,CAN,Active,
Samuel Matte,CAN,Active,
Sander Paavo,EST,Active,
Santiago Arteta,ARG,Active,
Santiago Enderica,ECU,Active,
Santiago Petrucci,ARG,Active,
Santiago Reyes,GUA,Active,
Saurabh Sangvekar,IND,Active,
Seokhyun Park,KOR,Active,
Sergey Bolshakov,RUS,Active,
Seungho Baek,KOR,Active,
Shahar Resman,ISR,Active,
Shai Toledano,ISR,Active,
Shuyi Liu,CHN,Active,
Simon Bachmann,SEY,Active,
Simon Huitenga,AUS,Active,
Simon Lamar,USA,Active,
Simone Ercoli,ITA,Active,
Simone Ruffini,ITA,Active,
Singha Chau,HKG,Active,
Siwat Matangkapong,THA,Active,
Soeren Meissner,GER,Active,
Solomon Wright,NZL,Active,
Spyridon Gianniotis,GRE,Active,
Stanislav Redko,KAZ,Active,
Suebsakul Kumton,THA,Active,
Sushrut Suryakant Kapse,IND,Active,
T C Smith,USA,Active,
Taiki Nonaka,JPN,Active,
Taishin Minamide,JPN,Active,
Takeshi Toyoda,JPN,Active,
Tamas Farkas,SRB,Active,
Tanakrit Kittiya,THA,Active,
Theodore Smith,USA,Active,
Tiago Campos,POR,Active,
Timotius Mulyadi,INA,Active,
Tobias Patrick Robinson,GBR,Active,
Tomas Peciar,SVK,Active,
Tsz Ho Tsang,HKG,Active,
Tzu-Cheng Liao,TPE,Active,
Ventsislav Aydarski,BUL,Active,
Victor Colonese,BRA,Active,
Victor Johansson,SWE,Active,
Vit Ingeduld,CZE,Active,
Vitaliy Khudyakov,KAZ,Active,
Vojislav Sterba,CZE,Active,
Wei Jun Su,CHN,Active,
William Rollo,AUS,Active,
William Yan Thorley,HKG,Active,
Xavier Desharnais,CAN,Active,
Yasunari Hirai,JPN,Active,
Yohsuke Miyamoto,JPN,Active,
Yonatan Sharon Rosin,ISR,Active,
Yosuke Aoki,JPN,Active,
Yunze Wang,CHN,Active,
Yuval Safra,ISR,Active,
Zhongyi Qiao,CHN,Active,
Zi Ce Pei,CHN,Active,
Zibin Zhang,CHN,Active,
Zoltán Drigan,HUN,Active,
Daniel Delgadillo,MEX,Active,
Matheus Emerim Evangelista,BRA,Active,
Martin Carrizo Yunges,ARG,Active,
Nikola Savatinov,BUL,Active,
Nicola Tempesta,ITA,Active,
Andrea Crevatin,ITA,Active,
Chin Ting Keith Sin,HKG,Active,
Tien-En Yang,TPE,Active,
Ritchie Oh,SGP,Active,
Yu Sung Chen,TPE,Active,
Chia En Hsu,TPE,Active,
Luke Yu Yang Tan,SGP,Active,
Tsung Bao Lin,TPE,Active,
Marco Magliocca,ITA,Active,
Stefano Parta,ITA,Active,
Ziyang Zhang,CHN,Active,
Lupeng Liu,CHN,Active,
Yunnan Wang,CHN,Active,
Araya Pumchitamorn,THA,Active,
Jaime Arevalo,BOL,Active,
Hector Thomas Cheal Pardoe,GBR,Active,
Pasquale Sanzullo,ITA,Active,
David Betlehem,HUN,Active,
Sebastien Dureux,FRA,Active,
Franco Ivo Cassini,ARG,Active,
Enzo Kihara,BRA,Active,
Jan Hercog,AUT,Active,
Jack Wilson,AUS,Active,
Sacha Velly,FRA,Active,
Daigo Wada,JPN,Active,
Ahmed Hafnaoui,TUN,Active,
Mohamed Khalil Ben Ajmia,TUN,Active,
Matias Cordero,ECU,Active,
Grgo Mujan,CRO,Active,
Dimitrios Markos,GRE,Active,
Bogdan Petre,ROU,Active,
Vincent Crooijmans,NED,Active,
Ous Mellouli,TUN,Active,
Sander Crooijmans,NED,Active,
Tameea Elhamayda,QAT,Active,
Diogo Cardoso,POR,Active,
Phillip Seidler,NAM,Active,
Johndry Segovia,VEN,Active,
Malek Louissi,TUN,Active,
Diego Vera,VEN,Active,
Krzysztof Chmielewski,POL,Active,
Henre Louw,RSA,Active,
Christian Schreiber,SUI,Active,
Mattias Glenesk,SWE,Active,
Rodrigo Caballero,BOL,Active,
Maximiliano Paccot,URU,Active,
Felipe Lopez,URU,Active,
Matthieu Magne,FRA,Active,
Aaron Elias Schmidt,GER,Active,
Alexandre Verplaetse,FRA,Active,
Polat Uzer Turnali,TUR,Active,
Ahmet Buraki Sik,TUR,Active,
Mehmet Efe Yilmaz,TUR,Active,
Emir Batur Albayrak,TUR,Active,
Atakan Malgil,TUR,Active,
Yagiz Efe Ari,TUR,Active,
Kristijan Stojanovski,MKD,Active,
Bora Tokcan,TUR,Active,
Riccardo Chiarcos,ITA,Active,
Marco Inglima,ITA,Active,
Ziv Cohen,ISR,Active,
Yoav Parvar,ISR,Active,
Yaron Mantin,ISR,Active,
Yuval Krelman,ISR,Active,
Oliver Klemet,GER,Active,
Zalan Sarkany,HUN,Active,
Linus Schwedler,GER,Active,
Ben Langner,GER,Active,
Dylan Gravley,USA,Active,
Bruce Hanson Almeida,BRA,Active,
Mark Kovacsics,HUN,Active,
Haoyang Tang,CHN,Active,
Joshua Brown,USA,Active,
Aleksandr Stepanov,RUS,Active,
Eric Georges Brown,CAN,Active,
Theo Druenne,MON,Active,
Danie Marais,RSA,Active,
Kirill Belyaev,RUS,Active,
